,col_base,col_vs,vs,vs_rate
0,cat1,cat2,86921,0.461565012373
1,cat1,cat3,132751,0.704929958899
2,cat1,cat4,109311,0.580459648042
3,cat1,cat5,110007,0.584155524167
4,cat1,cat6,118961,0.631702758101
5,cat1,cat7,137512,0.73021166325
6,cat1,cat8,132770,0.705030852069
7,cat1,cat9,91016,0.483310145605
8,cat1,cat10,119165,0.632786032137
9,cat1,cat11,126314,0.670748414915
10,cat1,cat12,118767,0.630672585733
11,cat1,cat13,126875,0.673727418515
12,cat1,cat14,139663,0.741633832135
13,cat1,cat15,141532,0.751558533969
14,cat1,cat16,136005,0.722209241814
15,cat1,cat17,140417,0.745637697936
16,cat1,cat18,140711,0.747198886989
17,cat1,cat19,139996,0.743402117695
18,cat1,cat20,141376,0.750730147941
19,cat1,cat21,141217,0.749885831413
20,cat1,cat22,141521,0.751500122134
21,cat1,cat23,121267,0.643948002846
22,cat1,cat24,136753,0.726181246615
23,cat1,cat25,131065,0.695977017598
24,cat1,cat26,136093,0.722676536497
25,cat1,cat27,133448,0.708631145191
26,cat1,cat28,135642,0.720281651249
27,cat1,cat29,138567,0.735813889272
28,cat1,cat30,139198,0.739164604552
29,cat1,cat31,138036,0.732994190677
30,cat1,cat32,140931,0.748367123695
31,cat1,cat33,140885,0.74812285602
32,cat1,cat34,141186,0.749721216241
33,cat1,cat35,141431,0.751022207118
34,cat1,cat36,121697,0.64623137459
35,cat1,cat37,133585,0.709358638048
36,cat1,cat38,132047,0.70119160144
37,cat1,cat39,138653,0.736270563621
38,cat1,cat40,134635,0.714934313236
39,cat1,cat41,135921,0.721763187799
40,cat1,cat42,140877,0.748080374685
41,cat1,cat43,138960,0.737900784843
42,cat1,cat44,136016,0.72226765365
43,cat1,cat45,138225,0.733997812211
44,cat1,cat46,140960,0.748521118534
45,cat1,cat47,141173,0.749652184072
46,cat1,cat48,141453,0.751139030788
47,cat1,cat49,137405,0.729643475398
48,cat1,cat50,121143,0.643289542157
49,cat1,cat51,140771,0.747517497
50,cat1,cat52,137401,0.729622234731
51,cat1,cat53,132827,0.70533353158
52,cat1,cat54,139530,0.740927579945
53,cat1,cat55,141439,0.751064688453
54,cat1,cat56,141440,0.751069998619
55,cat1,cat57,138780,0.73694495481
56,cat1,cat58,141339,0.750533671768
57,cat1,cat59,141276,0.750199131257
58,cat1,cat60,141214,0.749869900912
59,cat1,cat61,140950,0.748468016865
60,cat1,cat62,141511,0.751447020465
61,cat1,cat63,141483,0.751298335794
62,cat1,cat64,141509,0.751436400132
63,cat1,cat65,139734,0.742010853981
64,cat1,cat66,134780,0.715704287429
65,cat1,cat67,141004,0.748754765875
66,cat1,cat68,141436,0.751048757952
67,cat1,cat69,141417,0.750947864782
68,cat1,cat70,141537,0.751585084803
69,cat1,cat71,136668,0.725729882433
70,cat1,cat72,90360,0.479826676154
71,cat1,cat73,143341,0.761164625793
72,cat1,cat74,139635,0.741485147463
73,cat1,cat75,123513,0.655874637581
74,cat1,cat76,136622,0.725485614758
75,cat1,cat77,128,0.000679701356217
76,cat1,cat78,47117,0.250199131257
77,cat1,cat79,48398,0.257001454986
78,cat1,cat80,4940,0.0262322242165
79,cat1,cat81,4421,0.0234762476237
80,cat1,cat82,50318,0.267196975329
81,cat1,cat83,56282,0.298866810395
82,cat1,cat84,20134,0.106914899266
83,cat1,cat85,47096,0.250087617753
84,cat1,cat86,26217,0.139216644187
85,cat1,cat87,45721,0.24278613834
86,cat1,cat88,127103,0.674938136556
87,cat1,cat89,137501,0.730153251415
88,cat1,cat90,132706,0.704691001391
89,cat1,cat91,91948,0.488259221105
90,cat1,cat92,94134,0.499867245829
91,cat1,cat93,599,0.00318078994042
92,cat1,cat94,12208,0.0648265168492
93,cat1,cat95,2776,0.0147410231629
94,cat1,cat96,726,0.00385518112979
95,cat1,cat97,30632,0.16266103081
96,cat1,cat98,80144,0.425578011661
97,cat1,cat99,0,0.0
98,cat1,cat100,3112,0.016525239223
99,cat1,cat101,73437,0.389962722629
100,cat1,cat102,132172,0.701855372296
101,cat1,cat103,102961,0.546740088574
102,cat1,cat104,56,0.000297369343345
103,cat1,cat105,66,0.000350471011799
104,cat1,cat106,71,0.000377021846026
105,cat1,cat107,70,0.000371711679181
106,cat1,cat108,22970,0.12197453244
107,cat1,cat109,38,0.000201786340127
108,cat1,cat110,1017,0.00540043968181
109,cat1,cat111,95470,0.506961628734
110,cat1,cat112,1943,0.0103176541807
111,cat1,cat113,2446,0.012988668104
112,cat1,cat114,101946,0.541350269225
113,cat1,cat115,70,0.000371711679181
114,cat1,cat116,1,5.31016684544e-06
115,cat2,cat3,111256,0.590787922557
116,cat2,cat4,95830,0.508873288799
117,cat2,cat5,92534,0.491370978876
118,cat2,cat6,61680,0.327531091027
119,cat2,cat7,108143,0.574257373167
120,cat2,cat8,105293,0.559123397657
121,cat2,cat9,181917,0.966009622022
122,cat2,cat10,134826,0.715948555104
123,cat2,cat11,126853,0.673610594845
124,cat2,cat12,135214,0.71800889984
125,cat2,cat13,126188,0.670079333893
126,cat2,cat14,108998,0.57879756582
127,cat2,cat15,106755,0.566886861585
128,cat2,cat16,112450,0.59712826177
129,cat2,cat17,107242,0.569472912839
130,cat2,cat18,106680,0.566488599072
131,cat2,cat19,105617,0.560843891715
132,cat2,cat20,106841,0.567343535934
133,cat2,cat21,106466,0.565352223367
134,cat2,cat22,106738,0.566796588749
135,cat2,cat23,119066,0.632260325619
136,cat2,cat24,107322,0.569897726187
137,cat2,cat25,99888,0.530421945858
138,cat2,cat26,98372,0.52237173292
139,cat2,cat27,90619,0.481202009367
140,cat2,cat28,107843,0.572664323113
141,cat2,cat29,104084,0.552703405941
142,cat2,cat30,104041,0.552475068767
143,cat2,cat31,104389,0.554323006829
144,cat2,cat32,105902,0.562357289266
145,cat2,cat33,106260,0.564258328997
146,cat2,cat34,106329,0.564624730509
147,cat2,cat35,106614,0.56613812806
148,cat2,cat36,118740,0.630529211228
149,cat2,cat37,88774,0.471404751537
150,cat2,cat38,99164,0.526577385061
151,cat2,cat39,104904,0.557057742754
152,cat2,cat40,107252,0.569526014507
153,cat2,cat41,106752,0.566870931085
154,cat2,cat42,105504,0.560243842862
155,cat2,cat43,103537,0.549798744677
156,cat2,cat44,94987,0.504396818148
157,cat2,cat45,103764,0.55100415255
158,cat2,cat46,106381,0.564900859185
159,cat2,cat47,106252,0.564215847662
160,cat2,cat48,106568,0.565893860385
161,cat2,cat49,99202,0.526779171402
162,cat2,cat50,66172,0.351384360497
163,cat2,cat51,105724,0.561412079568
164,cat2,cat52,99684,0.529338671821
165,cat2,cat53,94584,0.502256820909
166,cat2,cat54,103051,0.54721800359
167,cat2,cat55,106618,0.566159368727
168,cat2,cat56,106599,0.566058475557
169,cat2,cat57,108125,0.574161790163
170,cat2,cat58,106780,0.567019615756
171,cat2,cat59,106691,0.566547010907
172,cat2,cat60,106719,0.566695695579
173,cat2,cat61,106783,0.567035546257
174,cat2,cat62,106712,0.566658524411
175,cat2,cat63,106720,0.566701005746
176,cat2,cat64,106720,0.566701005746
177,cat2,cat65,106275,0.564337981499
178,cat2,cat66,105695,0.561258084729
179,cat2,cat67,106747,0.56684438025
180,cat2,cat68,106699,0.566589492242
181,cat2,cat69,106552,0.565808897716
182,cat2,cat70,106700,0.566594802409
183,cat2,cat71,104971,0.557413523933
184,cat2,cat72,109763,0.582859843456
185,cat2,cat73,92670,0.492093161567
186,cat2,cat74,106392,0.56495927102
187,cat2,cat75,104226,0.553457449633
188,cat2,cat76,105534,0.560403147867
189,cat2,cat77,44,0.000233647341199
190,cat2,cat78,81813,0.434440680126
191,cat2,cat79,65060,0.345479454964
192,cat2,cat80,29379,0.156007391752
193,cat2,cat81,11767,0.0624847332703
194,cat2,cat82,77452,0.411283042513
195,cat2,cat83,76655,0.407050839537
196,cat2,cat84,18683,0.0992098471734
197,cat2,cat85,81516,0.432863560573
198,cat2,cat86,48344,0.256714705976
199,cat2,cat87,67143,0.356540532504
200,cat2,cat88,94762,0.503202030608
201,cat2,cat89,107994,0.573466158307
202,cat2,cat90,110658,0.587612442783
203,cat2,cat91,80410,0.426990516042
204,cat2,cat92,69325,0.36812731656
205,cat2,cat93,728,0.00386580146348
206,cat2,cat94,23974,0.127305939953
207,cat2,cat95,2069,0.0109867352032
208,cat2,cat96,1061,0.00563408702301
209,cat2,cat97,25059,0.13306747098
210,cat2,cat98,57348,0.304527448252
211,cat2,cat99,0,0.0
212,cat2,cat100,10627,0.0564311430665
213,cat2,cat101,106724,0.566722246413
214,cat2,cat102,102803,0.545901082212
215,cat2,cat103,82867,0.440037595981
216,cat2,cat104,59,0.000313299843881
217,cat2,cat105,55,0.000292059176499
218,cat2,cat106,52,0.000276128675963
219,cat2,cat107,52,0.000276128675963
220,cat2,cat108,34988,0.185792117588
221,cat2,cat109,30,0.000159305005363
222,cat2,cat110,777,0.00412599963891
223,cat2,cat111,71317,0.378705168916
224,cat2,cat112,1519,0.00806614343823
225,cat2,cat113,1863,0.00989284083306
226,cat2,cat114,55888,0.296774604658
227,cat2,cat115,52,0.000276128675963
228,cat2,cat116,7,3.71711679181e-05
229,cat3,cat4,123964,0.658269522828
230,cat3,cat5,119622,0.635212778385
231,cat3,cat6,125582,0.666861372784
232,cat3,cat7,175033,0.929454433458
233,cat3,cat8,170635,0.906100319672
234,cat3,cat9,116941,0.620976221073
235,cat3,cat10,159546,0.847215879523
236,cat3,cat11,163187,0.866550197007
237,cat3,cat12,158748,0.84297836638
238,cat3,cat13,163878,0.870219522297
239,cat3,cat14,176236,0.935842564173
240,cat3,cat15,177971,0.94505570365
241,cat3,cat16,184468,0.979555857645
242,cat3,cat17,179302,0.952123535721
243,cat3,cat18,178980,0.950413661997
244,cat3,cat19,179801,0.954773308977
245,cat3,cat20,178197,0.946255801357
246,cat3,cat21,178406,0.947365626228
247,cat3,cat22,178036,0.945400864495
248,cat3,cat23,151652,0.805297422445
249,cat3,cat24,172354,0.915228496479
250,cat3,cat25,160856,0.85417219809
251,cat3,cat26,167138,0.887530666214
252,cat3,cat27,158805,0.84328104589
253,cat3,cat28,171509,0.910741405495
254,cat3,cat29,174598,0.927144510881
255,cat3,cat30,174669,0.927521532727
256,cat3,cat31,172847,0.917846408734
257,cat3,cat32,176846,0.939081765949
258,cat3,cat33,177094,0.940398687327
259,cat3,cat34,177431,0.942188213554
260,cat3,cat35,177792,0.944105183785
261,cat3,cat36,150580,0.799604923587
262,cat3,cat37,156420,0.830616297964
263,cat3,cat38,160182,0.850593145637
264,cat3,cat39,173244,0.919954544972
265,cat3,cat40,170770,0.906817192196
266,cat3,cat41,171580,0.911118427341
267,cat3,cat42,176390,0.936660329868
268,cat3,cat43,174035,0.924154886947
269,cat3,cat44,162747,0.864213723595
270,cat3,cat45,174088,0.924436325789
271,cat3,cat46,177169,0.94079694984
272,cat3,cat47,177326,0.941630646035
273,cat3,cat48,177734,0.943797194108
274,cat3,cat49,169534,0.900253825975
275,cat3,cat50,131288,0.697161184804
276,cat3,cat51,176828,0.938986182946
277,cat3,cat52,169970,0.90256905872
278,cat3,cat53,164408,0.873033910725
279,cat3,cat54,173887,0.923368982253
280,cat3,cat55,177874,0.944540617466
281,cat3,cat56,177841,0.94436538196
282,cat3,cat57,176115,0.935200033985
283,cat3,cat58,177840,0.944360071793
284,cat3,cat59,177779,0.944036151616
285,cat3,cat60,177721,0.943728161939
286,cat3,cat61,177471,0.942400620227
287,cat3,cat62,177966,0.945029152816
288,cat3,cat63,177944,0.944912329145
289,cat3,cat64,177966,0.945029152816
290,cat3,cat65,176435,0.936899287376
291,cat3,cat66,172759,0.917379114052
292,cat3,cat67,177367,0.941848362876
293,cat3,cat68,177861,0.944471585297
294,cat3,cat69,177712,0.943680370437
295,cat3,cat70,177972,0.945061013817
296,cat3,cat71,169609,0.900652088489
297,cat3,cat72,118931,0.631543453095
298,cat3,cat73,145165,0.770850370119
299,cat3,cat74,174885,0.928668528765
300,cat3,cat75,148220,0.787072929831
301,cat3,cat76,171740,0.911968054036
302,cat3,cat77,48,0.000254888008581
303,cat3,cat78,11045,0.0586507928079
304,cat3,cat79,11727,0.0622723265965
305,cat3,cat80,8896,0.0472392442571
306,cat3,cat81,2551,0.0135462356227
307,cat3,cat82,26959,0.143156787986
308,cat3,cat83,32513,0.172649454646
309,cat3,cat84,28875,0.153331067662
310,cat3,cat85,10976,0.0582843912956
311,cat3,cat86,7289,0.0387058061364
312,cat3,cat87,4546,0.0241400184794
313,cat3,cat88,159432,0.846610520503
314,cat3,cat89,174987,0.929210165783
315,cat3,cat90,187508,0.995698764855
316,cat3,cat91,108003,0.573513949808
317,cat3,cat92,117649,0.624735819199
318,cat3,cat93,480,0.00254888008581
319,cat3,cat94,3643,0.0193449378179
320,cat3,cat95,3532,0.0187555092981
321,cat3,cat96,207,0.00109920453701
322,cat3,cat97,40178,0.213351883516
323,cat3,cat98,99625,0.529025371977
324,cat3,cat99,0,0.0
325,cat3,cat100,9403,0.0499314988477
326,cat3,cat101,103826,0.551333382895
327,cat3,cat102,169658,0.900912286664
328,cat3,cat103,118583,0.629695515033
329,cat3,cat104,69,0.000366401512336
330,cat3,cat105,72,0.000382332012872
331,cat3,cat106,70,0.000371711679181
332,cat3,cat107,70,0.000371711679181
333,cat3,cat108,12131,0.0644176340021
334,cat3,cat109,51,0.000270818509118
335,cat3,cat110,1246,0.00661646788942
336,cat3,cat111,121017,0.642620461135
337,cat3,cat112,2309,0.0122611752461
338,cat3,cat113,3081,0.0163606240508
339,cat3,cat114,123475,0.655672851241
340,cat3,cat115,70,0.000371711679181
341,cat3,cat116,0,0.0
342,cat4,cat5,81632,0.433479539927
343,cat4,cat6,97220,0.516254420714
344,cat4,cat7,127593,0.677540118311
345,cat4,cat8,124523,0.661237906095
346,cat4,cat9,98241,0.521676101063
347,cat4,cat10,117104,0.621841778269
348,cat4,cat11,131567,0.698642721354
349,cat4,cat12,118236,0.627852887138
350,cat4,cat13,116280,0.617466200788
351,cat4,cat14,127814,0.678713665183
352,cat4,cat15,128377,0.681703289117
353,cat4,cat16,125896,0.668528765174
354,cat4,cat17,127900,0.679170339532
355,cat4,cat18,127972,0.679552671545
356,cat4,cat19,127285,0.675904586922
357,cat4,cat20,128381,0.681724529785
358,cat4,cat21,128234,0.680943935258
359,cat4,cat22,128400,0.681825422955
360,cat4,cat23,159268,0.84573965314
361,cat4,cat24,134736,0.715470640088
362,cat4,cat25,146744,0.779235123568
363,cat4,cat26,139594,0.741267430623
364,cat4,cat27,148463,0.788363300375
365,cat4,cat28,135775,0.72098790344
366,cat4,cat29,132120,0.70157924362
367,cat4,cat30,131953,0.700692445757
368,cat4,cat31,133733,0.710144542742
369,cat4,cat32,129606,0.68822948417
370,cat4,cat33,129352,0.686880701792
371,cat4,cat34,128979,0.684900009558
372,cat4,cat35,128608,0.682929937659
373,cat4,cat36,107406,0.570343780202
374,cat4,cat37,109640,0.582206692934
375,cat4,cat38,112246,0.596044987734
376,cat4,cat39,124174,0.659384657866
377,cat4,cat40,122998,0.653139901656
378,cat4,cat41,123118,0.653777121677
379,cat4,cat42,127082,0.674826623052
380,cat4,cat43,125127,0.66444524687
381,cat4,cat44,114269,0.606787455262
382,cat4,cat45,125434,0.666075468091
383,cat4,cat46,127647,0.67782686732
384,cat4,cat47,127826,0.678777387186
385,cat4,cat48,128174,0.680625325248
386,cat4,cat49,128190,0.680710287917
387,cat4,cat50,99930,0.530644972865
388,cat4,cat51,127640,0.677789696152
389,cat4,cat52,121596,0.645695047738
390,cat4,cat53,119326,0.633640968999
391,cat4,cat54,125829,0.668172983995
392,cat4,cat55,128362,0.681623636615
393,cat4,cat56,128343,0.681522743445
394,cat4,cat57,127881,0.679069446362
395,cat4,cat58,128346,0.681538673945
396,cat4,cat59,128327,0.681437780775
397,cat4,cat60,128283,0.681204133434
398,cat4,cat61,128335,0.68148026211
399,cat4,cat62,128388,0.681761700953
400,cat4,cat63,128370,0.681666117949
